"","X.1","sciname","locname","howmany","obsdt","comname","db","query","species","genus","family","order","obsdt2","region","X","Y","week","weekNum"
"1",1737,"Actitis macularius","Spring Lake",1,"2017-08-17","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-17,"AB",4774906.38974578,2179865.93754734,4,2
"2",1759,"Actitis macularius","Greater St Albert area",2,"2017-08-11","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-11,"AB",4809156.34243748,2180908.48391457,5,1
"3",1765,"Actitis macularius","Agassiz--Tuyttens Rd. Wetlands",1,"2017-09-27 07:30","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-09-27,"BC",4101555.75529272,1956174.87191023,3,8
"4",1766,"Actitis macularius","Chilliwack - Hopedale Dyke",1,"2017-12-16 10:24","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-12-16,"BC",4079625.30824611,1952435.21500986,6,19
"5",1769,"Actitis macularius","North Vancouver--Maplewood Conservation Area",1,"2018-01-01 14:15","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2018-01-01,"BC",4027759.6370909,2005486.20321487,1,22
"6",1774,"Actitis macularius","Hemingway Rd and 206 st stormwater pond CA-AB-Edmonton-773 Hardy Pt NW 53.4897665x-113.6762023",4,"2017-08-20","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-20,"AB",4801852.69087346,2166622.14056316,0,3
"7",1805,"Actitis macularius","Edmonton--Strathcona Science PP",4,"2017-08-27","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-27,"AB",4823274.09322774,2167543.28267453,0,4
"8",1806,"Actitis macularius","CA-AB-Pembina River Provincial Park - 53.6001x-114.9959 - Sep 25, 2016, 9:46 AM",1,"2017-08-12","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-12,"AB",4725198.78550266,2207771.19477827,6,1
"9",1807,"Actitis macularius","Edmonton--William Hawrelak Park",1,"2017-09-01","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-09-01,"AB",4810883.43313614,2167937.84162364,5,4
"10",1829,"Actitis macularius","Sherwood Park--Heritage Wetlands Park",1,"2017-08-12","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-12,"AB",4829215.189829,2161734.57221178,6,1
"11",1833,"Actitis macularius","Sherwood Park--Heritage Wetlands Park",1,"2017-08-11","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-11,"AB",4829215.189829,2161734.57221178,5,1
"12",1858,"Actitis macularius","Hemingway Rd and 206 st stormwater pond CA-AB-Edmonton-773 Hardy Pt NW 53.4897665x-113.6762023",1,"2017-08-31","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-31,"AB",4801852.69087346,2166622.14056316,4,4
"13",1865,"Actitis macularius","Stearman Beach",1,"2018-01-06 11:46","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2018-01-06,"BC",4013984.20074253,2017088.248918,6,22
"14",1889,"Actitis macularius","Cooking Lake",3,"2017-08-09","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-09,"AB",4837650.63291609,2145286.9641471,3,1
"15",1895,"Actitis macularius","Greater Vancouver A, Greater Vancouver CA-BC (49.2490,-123.2479)",1,"2017-12-23 12:39","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-12-23,"BC",4008913.23645622,2008407.66672697,6,20
"16",1903,"Actitis macularius","CA-Alberta-Wimborne - 51.903x-113.737 - 17 Jul 2016 14:22",2,"2017-08-18","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-18,"AB",4739346.46378125,2003860.55618598,5,2
"17",1913,"Actitis macularius","Edmonton--Jackie Parker Recreation Area",1,"2017-08-26","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-26,"AB",4817219.40748458,2160542.90229571,6,3
"18",1914,"Actitis macularius","yard",1,"2017-10-29 10:00","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-10-29,"BC",4036202.66716551,1999561.44223149,0,13
"19",1923,"Actitis macularius","Ellis Bird Farm",2,"2017-08-10","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-10,"AB",4765403.54340959,2051504.66183058,4,1
"20",1927,"Actitis macularius","Edmonton--Beaumaris Lake",1,"2017-08-26","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-26,"AB",4816831.67141919,2176080.54585633,6,3
"21",1935,"Actitis macularius","Pacific Spirit Park-Trail 7, Greater Vancouver CA-BC (49.2490,-123.2479)",1,"2018-01-14 10:07","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2018-01-14,"BC",4008913.23645622,2008407.66672697,0,24
"22",1951,"Actitis macularius","Boundary Bay - 112th St., Delta",1,"2017-09-24 17:06","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-09-24,"BC",4021830.66972618,1980687.70019534,0,8
"23",1967,"Actitis macularius","Red Deer--Burbank Road",5,"2017-08-10","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-10,"AB",4754986.33432404,2051513.82542581,4,1
"24",1980,"Actitis macularius","yard",1,"2017-10-29 10:00","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-10-29,"BC",4036202.66716551,1999561.44223149,0,13
"25",1989,"Actitis macularius","Edmonton--Beaumaris Lake",1,"2017-08-17","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-17,"AB",4816831.67141919,2176080.54585633,4,2
"26",1991,"Actitis macularius","St. Albert--Grey Nuns Spruce Woodlot",3,"2017-08-15","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-15,"AB",4807997.24335357,2180171.13181285,2,2
"27",2004,"Actitis macularius","North Vancouver--Maplewood Conservation Area",1,"2017-12-17 08:10","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-12-17,"BC",4027759.6370909,2005486.20321487,0,20
"28",2009,"Actitis macularius","Edmonton--Beaumaris Lake",1,"2017-08-14","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-14,"AB",4816831.67141919,2176080.54585633,1,2
"29",2010,"Actitis macularius","Sherwood Park--Heritage Wetlands Park",1,"2017-08-14","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-14,"AB",4829215.189829,2161734.57221178,1,2
"30",2021,"Actitis macularius","Latimer Pond Park",1,"2017-09-10 14:15","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-09-10,"BC",4034564.16825676,1969783.9919166,0,6
"31",2024,"Actitis macularius","Granville stormwater pond N of Granville Link and Glastonbury Blvd",2,"2017-08-12","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-12,"AB",4802066.70452227,2168297.80584159,6,1
"32",2057,"Actitis macularius","Granville stormwater pond N of Granville Link and Glastonbury Blvd",3,"2017-08-06","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-06,"AB",4802066.70452227,2168297.80584159,0,1
"33",2063,"Actitis macularius","Cooking lake",10,"2017-08-09","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-09,"AB",4838410.02282686,2144932.33559952,3,1
"34",2068,"Actitis macularius","Edmonton--William Hawrelak Park",1,"2017-08-17","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-17,"AB",4810883.43313614,2167937.84162364,4,2
"35",2079,"Actitis macularius","Sherwood Park--Heritage Wetlands Park",1,"2017-08-07","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-07,"AB",4829215.189829,2161734.57221178,1,1
"36",2112,"Actitis macularius","Sherwood Park--Heritage Wetlands Park",1,"2017-08-29","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-29,"AB",4829215.189829,2161734.57221178,2,4
"37",2120,"Actitis macularius","Spring Lake",2,"2017-08-14","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-14,"AB",4774906.38974578,2179865.93754734,1,2
"38",2130,"Actitis macularius","Aspen Beach Provincial Park",2,"2017-08-07","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-07,"AB",4744610.5374752,2067062.92435145,1,1
"39",2170,"Actitis macularius","North Vancouver--Maplewood Conservation Area",1,"2017-11-06 07:03","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-11-06,"BC",4027759.6370909,2005486.20321487,1,14
"40",2196,"Actitis macularius","Edmonton--William Hawrelak Park",1,"2017-08-26","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-26,"AB",4810883.43313614,2167937.84162364,6,3
"41",2217,"Actitis macularius","Lacombe sewage lagoons",2,"2017-08-27","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-27,"AB",4762709.01057993,2062027.30308424,0,4
"42",3768,"Aix sponsa","Seabird Island",7,"2017-10-28 12:40","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-10-28,"BC",4107352.45509055,1959107.53977635,6,12
"43",3789,"Aix sponsa","Abbotsford--Fishtrap Creek Park",10,"2018-01-31 13:58","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-31,"BC",4056865.37340931,1958849.28430408,3,26
"44",3792,"Aix sponsa","Great Blue Heron Nature Reserve--East Loop Trail",2,"2017-12-08 08:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-08,"BC",4078774.21144105,1952392.86405434,5,18
"45",3801,"Aix sponsa","Stanley Park, Vancouver",8,"2017-10-31 11:52","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-10-31,"BC",4018451.8465189,2010096.05996195,2,13
"46",3803,"Aix sponsa","Abbotsford--Fishtrap Creek Park",1,"2017-12-25 12:10","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-25,"BC",4056865.37340931,1958849.28430408,1,21
"47",3809,"Aix sponsa","Burnaby Lake Regional Park (general)",35,"2017-10-31 09:45","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-10-31,"BC",4028091.40096421,1997399.34964529,2,13
"48",3811,"Aix sponsa","Abbotsford--Fishtrap Creek Park",1,"2018-01-17 14:23","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-17,"BC",4056865.37340931,1958849.28430408,3,24
"49",3812,"Aix sponsa","Chilliwack - Hope River",1,"2017-11-05 08:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-05,"BC",4088937.21042529,1958108.69068463,0,14
"50",3822,"Aix sponsa","Stanley Park--Lost Lagoon",10,"2017-10-29 14:20","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-10-29,"BC",4018256.69304599,2009276.01938016,0,13
"51",3836,"Aix sponsa","Robertson Elementary/Hilton Drive",8,"2018-01-17 08:00","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-17,"BC",4088067.86420075,1955340.44954603,3,24
"52",3842,"Aix sponsa","Ryder Lake",9,"2017-09-26 08:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-09-26,"BC",4089295.3386367,1948449.19966767,2,8
"53",3864,"Aix sponsa","Ryder Lake",1,"2017-11-24 10:55","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-24,"BC",4089295.3386367,1948449.19966767,5,16
"54",3887,"Aix sponsa","Reifel Bird Sanctuary",NA,"2017-12-13 14:51","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-13,"BC",4005117.17973462,1991652.37070744,3,19
"55",3896,"Aix sponsa","Great Blue Heron Nature Reserve--Heron Loop Trail",1,"2018-01-09 09:35","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-09,"BC",4078344.20467461,1952457.4232042,2,23
"56",3898,"Aix sponsa","Cheam Lake Wetlands Regional Park",7,"2017-09-12 09:40","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-09-12,"BC",4102621.32935356,1952732.25214386,2,6
"57",3911,"Aix sponsa","Ryder Lake",3,"2017-10-29 13:20","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-10-29,"BC",4089295.3386367,1948449.19966767,0,13
"58",3918,"Aix sponsa","Abbotsford--Fishtrap Creek Park",4,"2017-12-06 15:05","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-06,"BC",4056865.37340931,1958849.28430408,3,18
"59",3921,"Aix sponsa","Deer Lake Park",7,"2018-01-24 16:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-24,"BC",4026285.42012846,1997692.29845903,3,25
"60",3927,"Aix sponsa","Seabird Island",7,"2017-10-28 12:40","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-10-28,"BC",4107352.45509055,1959107.53977635,6,12
"61",3928,"Aix sponsa","Abbotsford--Fishtrap Creek Park",7,"2018-01-25 09:10","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-25,"BC",4056865.37340931,1958849.28430408,4,25
"62",3934,"Aix sponsa","Burnaby Lake--Rowing Pavilion",NA,"2018-01-11 08:17","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-11,"BC",4027258.78242312,1998128.70490042,4,23
"63",3954,"Aix sponsa","8454 Hilton Dr, Chilliwack CA-BC (49.1572,-121.9470)",20,"2018-01-27 11:59","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-27,"BC",4088061.55381136,1955367.4866957,6,25
"64",3962,"Aix sponsa","Delta--Westham and Reifel Islands",20,"2017-12-06 13:39","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-06,"BC",4006215.3017343,1990740.56733156,3,18
"65",3971,"Aix sponsa","Addington Marsh",2,"2017-09-15 11:00","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-09-15,"BC",4048395.6335972,1993188.83291173,5,6
"66",3994,"Aix sponsa","Abbotsford--Fishtrap Creek Park",4,"2017-11-08 14:00","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-08,"BC",4056865.37340931,1958849.28430408,3,14
"67",4005,"Aix sponsa","Reifel Bird Sanctuary",6,"2017-09-27 13:00","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-09-27,"BC",4005117.17973462,1991652.37070744,3,8
"68",4022,"Aix sponsa","Reifel Bird Sanctuary",22,"2017-12-20 10:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-20,"BC",4005117.17973462,1991652.37070744,3,20
"69",4028,"Aix sponsa","Stanley Park--Lost Lagoon",12,"2017-11-29 13:45","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-29,"BC",4018256.69304599,2009276.01938016,3,17
"70",4044,"Aix sponsa","Burnaby Lake--Piper Spit",50,"2017-11-15 14:31","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-15,"BC",4028596.65530307,1997016.23038674,3,15
"71",4049,"Aix sponsa","Great Blue Heron Nature Reserve--East Loop Trail",1,"2017-12-01 08:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-01,"BC",4078774.21144105,1952392.86405434,5,17
"72",4062,"Aix sponsa","Great Blue Heron Nature Reserve",1,"2017-11-29 08:00","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-29,"BC",4078583.67840408,1952623.01034107,3,17
"73",4064,"Aix sponsa","Cheam Lake Wetlands Regional Park",1,"2017-10-30 13:00","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-10-30,"BC",4102621.32935356,1952732.25214386,1,13
"74",4077,"Aix sponsa","Ryder Lake",4,"2017-12-18 15:15","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-18,"BC",4089295.3386367,1948449.19966767,1,20
"75",4079,"Aix sponsa","Great Blue Heron Nature Reserve--East Loop Trail",32,"2017-11-17 08:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-17,"BC",4078774.21144105,1952392.86405434,5,15
"76",4081,"Aix sponsa","Great Blue Heron Nature Reserve",1,"2017-09-15 07:45","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-09-15,"BC",4078583.67840408,1952623.01034107,5,6
"77",4083,"Aix sponsa","Stanley Park, Vancouver",5,"2017-11-09 11:24","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-09,"BC",4018451.8465189,2010096.05996195,4,14
"78",4110,"Aix sponsa","Abbotsford--Fishtrap Creek Park",7,"2017-11-22 14:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-22,"BC",4056865.37340931,1958849.28430408,3,16
"79",4112,"Aix sponsa","Reifel Bird Sanctuary",4,"2018-01-18 09:37","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-18,"BC",4005117.17973462,1991652.37070744,4,24
"80",4115,"Aix sponsa","Great Blue Heron Nature Reserve",3,"2017-11-14 09:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-14,"BC",4078583.67840408,1952623.01034107,2,15
"81",4117,"Aix sponsa","Campbell Valley Park, Little River Loop",1,"2017-12-27 14:51","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-12-27,"BC",4035303.95354231,1966342.96129622,3,21
"82",4128,"Aix sponsa","Stanley Park--Lost Lagoon",3,"2017-11-17 11:54","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-17,"BC",4018256.69304599,2009276.01938016,5,15
"83",4132,"Aix sponsa","Reifel Bird Sanctuary",NA,"2018-01-04 11:12","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-04,"BC",4005117.17973462,1991652.37070744,4,22
"84",4146,"Aix sponsa","Chilliwack - Hope River",50,"2018-01-20 11:00","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-20,"BC",4088937.21042529,1958108.69068463,6,24
"85",4147,"Aix sponsa","Burnaby Lake--Piper Spit",40,"2017-11-22 16:15","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-22,"BC",4028596.65530307,1997016.23038674,3,16
"86",4149,"Aix sponsa","Reifel Bird Sanctuary",NA,"2018-01-31 11:20","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-31,"BC",4005117.17973462,1991652.37070744,3,26
"87",4150,"Aix sponsa","Trinity Western University",2,"2017-11-15 11:30","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2017-11-15,"BC",4045200.00283643,1975526.53752135,3,15
"88",4151,"Aix sponsa","Burnaby Lake--Piper Spit",60,"2018-01-03 14:09","Wood Duck","ncbi","Aix sponsa","Aix sponsa","Aix","Anatidae","Anseriformes",2018-01-03,"BC",4028596.65530307,1997016.23038674,3,22
"89",4203,"Alcidae sp.","Iona Island (general)",6,"2018-01-10 09:53","alcid sp.","ncbi","Alcidae",NA,NA,"Alcidae","Charadriiformes",2018-01-10,"BC",4009818.07842358,2004433.93434014,3,23
"90",4275,"Anas acuta","Hwy 21 / TwpRd 530",3,"2017-09-09","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-09,"AB",4830360.69948857,2162363.13976158,6,5
"91",4283,"Anas acuta","RR12 Gravel Parkland County",20,"2017-10-01","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4779376.15389952,2176424.45515421,0,9
"92",4291,"Anas acuta","Edmonton--Bretona Pond",6,"2017-09-18","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-18,"AB",4822028.96940301,2153982.34024535,1,7
"93",4292,"Anas acuta","Clifford E. Lee Nature Sanctuary",11,"2017-09-03","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-03,"AB",4792144.8837496,2161179.37279947,0,5
"94",4298,"Anas acuta","Clifford E. Lee Nature Sanctuary",15,"2017-09-29","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-29,"AB",4792144.8837496,2161179.37279947,5,8
"95",4302,"Anas acuta","Murray Marsh",120,"2017-09-26","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-26,"AB",4800299.87118808,2194819.77332181,2,8
"96",4314,"Anas acuta","Kilby Provincial Park",30,"2018-01-30 13:45","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-30,"BC",4091119.86766283,1963828.22330041,2,26
"97",4315,"Anas acuta","Clifford E. Lee Nature Sanctuary",1,"2017-09-05","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-05,"AB",4792144.8837496,2161179.37279947,2,5
"98",4321,"Anas acuta","Abbotsford--Willband Creek Park",1,"2017-09-25 09:00","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-25,"BC",4061974.44569012,1957980.72499229,1,8
"99",4323,"Anas acuta","CA-AB-23454-23508 Township Road 474 (53.0763,-113.3370)",5,"2017-10-01","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4807736.09876604,2116428.62673676,0,9
"100",4329,"Anas acuta","Big Lake--John E. Poole Wetland",2,"2017-09-29","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-29,"AB",4807710.94890133,2178877.29683856,5,8
"101",4330,"Anas acuta","Sherwood Park--Heritage Wetlands Park",8,"2017-10-13","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-13,"AB",4829215.189829,2161734.57221178,5,10
"102",4331,"Anas acuta","Coal Lake",4,"2017-10-01","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4812456.33078019,2106637.17755864,0,9
"103",4336,"Anas acuta","Port Moody--Shoreline Park",6,"2017-11-29 15:15","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-11-29,"BC",4037241.45673773,1997711.60907304,3,17
"104",4352,"Anas acuta","Iona Island inner ponds",NA,"2017-11-09 14:23","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-11-09,"BC",4010045.30047809,2004004.06592728,4,14
"105",4370,"Anas acuta","Twin Island Lake",2,"2017-09-18","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-18,"AB",4833818.01442183,2153637.24528072,1,7
"106",4377,"Anas acuta","Cooking Lake",2,"2017-09-06","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-06,"AB",4837650.63291609,2145286.9641471,3,5
"107",4378,"Anas acuta","Abbotsford--Willband Creek Park",2,"2017-12-25 15:14","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-25,"BC",4061974.44569012,1957980.72499229,1,21
"108",4382,"Anas acuta","Chilliwack--Jesperson Dyke",2,"2018-01-14 12:00","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-14,"BC",4095182.47019806,1958736.21976439,0,24
"109",4387,"Anas acuta","Murray Marsh",25,"2017-09-02","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-02,"AB",4800299.87118808,2194819.77332181,6,4
"110",4399,"Anas acuta","Delta -- Roberts Bank, north dyke, jetty base",NA,"2017-10-31 14:08","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-31,"BC",4006551.66220763,1984733.13054175,2,13
"111",4407,"Anas acuta","Keephills Plant Cooling Ponds",2,"2017-10-28","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-28,"AB",4752431.81358666,2181644.80800571,6,12
"112",4415,"Anas acuta","Laxton Lake",6,"2017-12-30 12:39","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-30,"BC",4054210.24025496,1954227.77679017,6,21
"113",4422,"Anas acuta","White Rock Pier",NA,"2017-12-06 14:52","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-06,"BC",4025368.33825039,1970749.50216611,3,18
